"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3160498","Andrew  Luxton-Reilly and Arthur  Lewis and Beryl  Plimmer","","","","Comparing Sequential and Parallel Code Review Techniques for Formative Feedback","45--52","","8","CS1, code review, formative feedback, novice programmers, parallel code review, peer assessment, peer feedback, peer review, sequential code review","10.1145/3160489.3160498","","","","","","","2018","","Proceedings of the 20th Australasian Computing Education Conference","ACE '18","","978-1-4503-6340-2","Brisbane, Queensland, Australia","ACM","New York, NY, USA"
"article","3239525","Farida El Zanaty and Toshiki  Hirao and Shane  McIntosh and Akinori  Ihara and Kenichi  Matsumoto","","","","An Empirical Study of Design Discussions in Code Review","11:1--11:10","11","10","code review, mining software repositories, software design","10.1145/3239235.3239525","","","","","","","2018","","Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '18","","978-1-4503-5823-1","Oulu, Finland","ACM","New York, NY, USA"
"article","3131718","Cheng  Yang and Xunhui  Zhang and Lingbin  Zeng and Qiang  Fan and Gang  Yin and Huaimin  Wang","","","","An Empirical Study of Reviewer Recommendation in Pull-based Development Model","14:1--14:6","14","6","GitHub, code reviewer recommendation, pull request","10.1145/3131704.3131718","","","","","","","2017","","Proceedings of the 9th Asia-Pacific Symposium on Internetware","Internetware'17","","978-1-4503-5313-7","Shanghai, China","ACM","New York, NY, USA"
"article","2983929","Sebastiaan  Oosterwaal and Arie van  Deursen and Roberta  Coelho and Anand Ashok  Sawant and Alberto  Bacchelli","","","","Visualizing Code and Coverage Changes for Code Review","1038--1041","","4","code review, software evolution, software testing","10.1145/2950290.2983929","","","","","","","2016","","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2016","","978-1-4503-4218-6","Seattle, WA, USA","ACM","New York, NY, USA"
"article","3084247","Daniel  Izquierdo-Cortazar and Nelson  Sekitoleko and Jesus M. Gonzalez-Barahona and Lars  Kurth","","","","Using Metrics to Track Code Review Performance","214--223","","10","Code review, Data mining, Software development analytics","10.1145/3084226.3084247","","","","","","","2017","","Proceedings of the 21st International Conference on Evaluation and Assessment in Software Engineering","EASE'17","","978-1-4503-4804-1","Karlskrona, Sweden","ACM","New York, NY, USA"
"article","3236080","Achyudh  Ram and Anand Ashok  Sawant and Marco  Castelluccio and Alberto  Bacchelli","","","","What Makes a Code Change Easier to Review: An Empirical Investigation on Code Change Reviewability","201--212","","12","Code quality, code review, pull request","10.1145/3236024.3236080","","","","","","","2018","","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","ESEC/FSE 2018","","978-1-4503-5573-5","Lake Buena Vista, FL, USA","ACM","New York, NY, USA"
"article","3196466","Matheus  Paixao and Jens  Krinke and Donggyun  Han and Mark  Harman","","","","CROP: Linking Code Reviews to Source Code Changes","46--49","","4","code review, platform, repository, software change analysis","10.1145/3196398.3196466","","","","","","","2018","","Proceedings of the 15th International Conference on Mining Software Repositories","MSR '18","","978-1-4503-5716-6","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","253461","Richard A. Baker,Jr.","","","","Code Reviews Enhance Software Quality","570--571","","2","code reviews, software engineering, software quality","10.1145/253228.253461","","","","","","","1997","","Proceedings of the 19th International Conference on Software Engineering","ICSE '97","","0-89791-914-9","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","1414079","Hidetake  Uwano and Akito  Monden and Ken-ichi  Matsumoto","","","","Are Good Code Reviewers Also Good at Design Review?","351--353","","3","code review, design review, experimental evaluation","10.1145/1414004.1414079","","","","","","","2008","","Proceedings of the Second ACM-IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '08","","978-1-59593-971-5","Kaiserslautern, Germany","ACM","New York, NY, USA"
"article","253248","Carolyn B. Seaman and Victor R. Basili","","","","An Empirical Study of Communication in Code Inspections","96--106","","11","communication, empirical study, inspections, organizational structure, process","10.1145/253228.253248","","","","","","","1997","","Proceedings of the 19th International Conference on Software Engineering","ICSE '97","","0-89791-914-9","Boston, Massachusetts, USA","ACM","New York, NY, USA"
